timestamp,elapsed_time,ball_x,ball_y,ball_detected,kalman_x,kalman_y,kalman_vx,kalman_vy,platform_rx,platform_ry,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
17:46:41.361,0.019,-1.766,10.192,True,-1.661,10.369,1.510,-7.608,0.612,-0.199,0.000,0.000,-1.766,10.192,10.344,0.701,0.099,0.708,0.811
17:46:41.382,0.039,-1.766,12.231,True,-1.662,10.689,1.510,-5.994,0.726,-0.209,0.000,0.000,-1.766,12.231,12.358,0.804,0.100,0.810,0.642
17:46:41.402,0.059,-1.766,14.269,True,-1.663,11.432,1.511,-2.027,0.973,-0.203,0.000,0.000,-1.766,14.269,14.378,1.054,0.100,1.058,0.756
17:46:41.422,0.079,-1.766,10.192,True,-1.664,11.112,1.514,-6.016,0.778,-0.140,0.000,0.000,-1.766,10.192,10.344,0.846,0.100,0.852,0.439
17:46:41.444,0.102,-1.766,10.192,True,-1.664,10.806,1.517,-8.973,0.611,-0.134,0.000,0.000,-1.766,10.192,10.344,0.685,0.099,0.692,0.803
17:46:41.465,0.122,-1.766,14.269,True,-1.665,11.473,1.521,-4.816,0.856,-0.130,0.000,0.000,-1.766,14.269,14.378,0.935,0.099,0.940,0.769
17:46:41.485,0.142,-1.766,12.231,True,-1.665,11.575,1.524,-5.430,0.833,-0.091,0.000,0.000,-1.766,12.231,12.358,0.918,0.099,0.923,0.503
17:46:41.506,0.163,-1.766,14.269,True,-1.665,12.118,1.526,-3.026,1.018,-0.087,0.000,0.000,-1.766,14.269,14.378,1.078,0.099,1.083,0.942
17:46:41.526,0.183,-1.766,12.231,True,-1.665,12.098,1.529,-4.976,0.931,-0.073,0.000,0.000,-1.766,12.231,12.358,0.990,0.099,0.995,0.555
17:46:41.546,0.204,-1.766,16.308,True,-1.665,13.000,1.531,-0.411,1.212,-0.073,0.000,0.000,-1.766,16.308,16.403,1.282,0.099,1.286,0.692
17:46:41.567,0.224,-1.766,12.231,True,-1.665,12.815,1.533,-4.211,1.022,-0.076,0.000,0.000,-1.766,12.231,12.358,1.096,0.099,1.100,0.915
17:46:41.587,0.244,-1.766,10.192,True,-1.665,12.140,1.534,-10.348,0.678,-0.070,0.000,0.000,-1.766,10.192,10.344,0.757,0.099,0.764,0.630
17:46:41.607,0.265,-1.766,18.346,True,-1.665,13.425,1.536,-2.092,1.163,-0.057,0.000,0.000,-1.766,18.346,18.431,1.250,0.099,1.254,0.733
17:46:41.628,0.285,0.000,18.346,True,-1.254,14.537,4.238,2.931,1.485,-0.204,0.000,0.000,0.000,18.346,18.346,1.583,-0.062,1.584,0.396
