timestamp,elapsed_time,ball_x,ball_y,ball_detected,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
16:10:09.811,1.020,-2.626,-4.302,True,0.000,0.000,-2.626,-4.302,5.040,0.000,0.000,0.000,0.973
16:10:09.830,1.040,-3.028,-2.734,True,0.000,0.000,-3.028,-2.734,4.080,0.000,0.000,0.000,0.529
16:10:09.851,1.060,-2.555,-1.518,True,0.000,0.000,-2.555,-1.518,2.972,0.000,0.000,0.000,0.972
16:10:09.871,1.080,-4.476,-2.403,True,0.000,0.000,-4.476,-2.403,5.081,0.000,0.000,0.000,0.684
16:10:09.892,1.101,-3.592,-1.348,True,0.000,0.000,-3.592,-1.348,3.837,0.000,0.000,0.000,0.869
16:10:09.913,1.122,-2.873,0.291,True,0.000,0.000,-2.873,0.291,2.887,0.000,0.000,0.000,1.110
16:10:09.933,1.142,-4.616,-2.963,True,0.000,0.000,-4.616,-2.963,5.485,0.000,0.000,0.000,0.597
16:10:09.954,1.163,-5.137,-5.431,True,0.000,0.000,-5.137,-5.431,7.475,0.000,0.000,0.000,0.555
16:10:09.975,1.184,-4.691,-3.642,True,0.000,0.000,-4.691,-3.642,5.938,0.000,0.000,0.000,1.184
16:10:09.994,1.204,-5.822,-5.707,True,0.000,0.000,-5.822,-5.707,8.153,0.000,0.000,0.000,0.893
16:10:10.015,1.224,-6.613,-7.173,True,0.000,0.000,-6.613,-7.173,9.756,0.000,0.000,0.000,0.527
16:10:10.035,1.244,-4.832,-5.486,True,0.000,0.000,-4.832,-5.486,7.311,0.000,0.000,0.000,0.983
16:10:10.056,1.265,-3.456,-4.118,True,0.000,0.000,-3.456,-4.118,5.376,0.000,0.000,0.000,1.119
16:10:10.076,1.285,-2.472,-2.214,True,0.000,0.000,-2.472,-2.214,3.318,0.000,0.000,0.000,1.490
16:10:10.096,1.305,-2.590,-4.383,True,0.000,0.000,-2.590,-4.383,5.091,0.000,0.000,0.000,0.552
16:10:10.116,1.325,-4.291,-6.065,True,0.000,0.000,-4.291,-6.065,7.430,0.000,0.000,0.000,0.493
16:10:10.137,1.346,-5.588,-7.269,True,0.000,0.000,-5.588,-7.269,9.169,0.000,0.000,0.000,1.400
16:10:10.157,1.366,-5.740,-8.059,True,0.000,0.000,-5.740,-8.059,9.894,0.000,0.000,0.000,0.572
16:10:10.178,1.387,-4.251,-5.005,True,0.000,0.000,-4.251,-5.005,6.566,0.000,0.000,0.000,1.173
16:10:10.198,1.407,-3.109,-2.673,True,0.000,0.000,-3.109,-2.673,4.100,0.000,0.000,0.000,1.064
16:10:10.219,1.428,-4.584,-4.545,True,0.000,0.000,-4.584,-4.545,6.455,0.000,0.000,0.000,1.111
16:10:10.239,1.448,-3.433,-2.523,True,0.000,0.000,-3.433,-2.523,4.260,0.000,0.000,0.000,0.947
16:10:10.259,1.468,-2.581,-1.073,True,0.000,0.000,-2.581,-1.073,2.795,0.000,0.000,0.000,0.512
16:10:10.279,1.489,-2.761,-1.879,True,0.000,0.000,-2.761,-1.879,3.339,0.000,0.000,0.000,1.119
16:10:10.299,1.509,-2.193,-0.840,True,0.000,0.000,-2.193,-0.840,2.348,0.000,0.000,0.000,0.559
16:10:10.321,1.530,-4.103,-4.544,True,0.000,0.000,-4.103,-4.544,6.123,0.000,0.000,0.000,1.141
16:10:10.340,1.550,-5.541,-6.442,True,0.000,0.000,-5.541,-6.442,8.498,0.000,0.000,0.000,0.786
16:10:10.361,1.570,-6.540,-7.725,True,0.000,0.000,-6.540,-7.725,10.122,0.000,0.000,0.000,0.875
16:10:10.381,1.590,-4.886,-5.869,True,0.000,0.000,-4.886,-5.869,7.637,0.000,0.000,0.000,0.688
16:10:10.402,1.611,-5.859,-6.995,True,0.000,0.000,-5.859,-6.995,9.125,0.000,0.000,0.000,0.932
16:10:10.422,1.631,-4.271,-4.258,True,0.000,0.000,-4.271,-4.258,6.031,0.000,0.000,0.000,0.528
16:10:10.443,1.652,-5.355,-5.711,True,0.000,0.000,-5.355,-5.711,7.829,0.000,0.000,0.000,1.159
16:10:10.463,1.672,-6.174,-6.828,True,0.000,0.000,-6.174,-6.828,9.205,0.000,0.000,0.000,0.827
16:10:10.484,1.693,-4.462,-3.226,True,0.000,0.000,-4.462,-3.226,5.506,0.000,0.000,0.000,1.071
16:10:10.503,1.712,-3.168,-1.431,True,0.000,0.000,-3.168,-1.431,3.476,0.000,0.000,0.000,0.679
16:10:10.524,1.733,-4.549,-4.635,True,0.000,0.000,-4.549,-4.635,6.494,0.000,0.000,0.000,0.756
16:10:10.544,1.753,-4.111,-4.480,True,0.000,0.000,-4.111,-4.480,6.080,0.000,0.000,0.000,0.597
16:10:10.564,1.773,-3.031,-3.465,True,0.000,0.000,-3.031,-3.465,4.604,0.000,0.000,0.000,0.518
16:10:10.585,1.794,-2.267,-1.840,True,0.000,0.000,-2.267,-1.840,2.920,0.000,0.000,0.000,1.299
16:10:10.606,1.815,-3.296,-5.091,True,0.000,0.000,-3.296,-5.091,6.065,0.000,0.000,0.000,1.077
16:10:10.626,1.835,-3.357,-3.152,True,0.000,0.000,-3.357,-3.152,4.604,0.000,0.000,0.000,0.720
16:10:10.646,1.855,-4.935,-6.069,True,0.000,0.000,-4.935,-6.069,7.822,0.000,0.000,0.000,1.015
16:10:10.666,1.875,-6.847,-5.581,True,0.000,0.000,-6.847,-5.581,8.833,0.000,0.000,0.000,0.524
16:10:10.687,1.896,-7.408,-7.761,True,0.000,0.000,-7.408,-7.761,10.729,0.000,0.000,0.000,1.038
16:10:10.708,1.917,-5.402,-4.896,True,0.000,0.000,-5.402,-4.896,7.291,0.000,0.000,0.000,1.046
16:10:10.727,1.937,-5.395,-4.720,True,0.000,0.000,-5.395,-4.720,7.168,0.000,0.000,0.000,0.473
16:10:10.748,1.957,-6.331,-6.577,True,0.000,0.000,-6.331,-6.577,9.129,0.000,0.000,0.000,1.096
16:10:10.769,1.978,-6.804,-7.513,True,0.000,0.000,-6.804,-7.513,10.136,0.000,0.000,0.000,0.891
16:10:10.789,1.998,-4.699,-4.403,True,0.000,0.000,-4.699,-4.403,6.440,0.000,0.000,0.000,0.745
16:10:10.809,2.018,-6.312,-4.010,True,0.000,0.000,-6.312,-4.010,7.478,0.000,0.000,0.000,0.631
16:10:10.829,2.039,-4.458,-5.553,True,0.000,0.000,-4.458,-5.553,7.121,0.000,0.000,0.000,0.951
16:10:10.850,2.059,-4.611,-6.736,True,0.000,0.000,-4.611,-6.736,8.163,0.000,0.000,0.000,1.048
16:10:10.870,2.079,-3.255,-4.058,True,0.000,0.000,-3.255,-4.058,5.202,0.000,0.000,0.000,0.713
16:10:10.890,2.099,-2.306,-2.050,True,0.000,0.000,-2.306,-2.050,3.086,0.000,0.000,0.000,0.553
16:10:10.911,2.120,-3.992,-5.069,True,0.000,0.000,-3.992,-5.069,6.452,0.000,0.000,0.000,0.982
16:10:10.931,2.141,-5.314,-7.393,True,0.000,0.000,-5.314,-7.393,9.105,0.000,0.000,0.000,1.025
16:10:10.952,2.161,-6.273,-8.166,True,0.000,0.000,-6.273,-8.166,10.297,0.000,0.000,0.000,1.035
16:10:10.972,2.181,-6.151,-9.483,True,0.000,0.000,-6.151,-9.483,11.303,0.000,0.000,0.000,1.412
16:10:10.992,2.201,-5.980,-9.438,True,0.000,0.000,-5.980,-9.438,11.172,0.000,0.000,0.000,1.036
16:10:11.012,2.221,-6.563,-9.259,True,0.000,0.000,-6.563,-9.259,11.349,0.000,0.000,0.000,0.527
16:10:11.033,2.242,-4.670,-5.511,True,0.000,0.000,-4.670,-5.511,7.224,0.000,0.000,0.000,0.871
16:10:11.053,2.263,-4.771,-6.241,True,0.000,0.000,-4.771,-6.241,7.856,0.000,0.000,0.000,0.701
16:10:11.073,2.283,-5.653,-6.883,True,0.000,0.000,-5.653,-6.883,8.907,0.000,0.000,0.000,0.545
16:10:11.094,2.303,-6.322,-7.399,True,0.000,0.000,-6.322,-7.399,9.732,0.000,0.000,0.000,0.553
16:10:11.115,2.324,-7.551,-6.024,True,0.000,0.000,-7.551,-6.024,9.660,0.000,0.000,0.000,0.747
16:10:11.135,2.344,-6.880,-6.769,True,0.000,0.000,-6.880,-6.769,9.651,0.000,0.000,0.000,0.567
16:10:11.155,2.364,-4.787,-4.720,True,0.000,0.000,-4.787,-4.720,6.723,0.000,0.000,0.000,0.546
16:10:11.176,2.385,-4.761,-6.752,True,0.000,0.000,-4.761,-6.752,8.262,0.000,0.000,0.000,0.746
16:10:11.197,2.406,-3.287,-3.922,True,0.000,0.000,-3.287,-3.922,5.117,0.000,0.000,0.000,1.046
16:10:11.217,2.426,-2.269,-1.847,True,0.000,0.000,-2.269,-1.847,2.925,0.000,0.000,0.000,1.046
16:10:11.237,2.446,-1.629,-0.447,True,0.000,0.000,-1.629,-0.447,1.689,0.000,0.000,0.000,0.550
16:10:11.257,2.467,-3.566,-3.113,True,0.000,0.000,-3.566,-3.113,4.734,0.000,0.000,0.000,0.884
16:10:11.278,2.487,-2.798,-2.591,True,0.000,0.000,-2.798,-2.591,3.814,0.000,0.000,0.000,1.116
16:10:11.299,2.508,-3.762,-5.744,True,0.000,0.000,-3.762,-5.744,6.867,0.000,0.000,0.000,0.973
16:10:11.319,2.529,-4.492,-8.066,True,0.000,0.000,-4.492,-8.066,9.232,0.000,0.000,0.000,1.199
16:10:11.339,2.548,-3.481,-5.244,True,0.000,0.000,-3.481,-5.244,6.294,0.000,0.000,0.000,0.754
16:10:11.360,2.569,-2.702,-3.017,True,0.000,0.000,-2.702,-3.017,4.050,0.000,0.000,0.000,1.003
16:10:11.380,2.589,-3.670,-4.907,True,0.000,0.000,-3.670,-4.907,6.128,0.000,0.000,0.000,0.894
16:10:11.400,2.609,-5.176,-7.247,True,0.000,0.000,-5.176,-7.247,8.905,0.000,0.000,0.000,0.863
16:10:11.420,2.629,-3.972,-4.533,True,0.000,0.000,-3.972,-4.533,6.027,0.000,0.000,0.000,0.610
16:10:11.441,2.650,-5.309,-5.967,True,0.000,0.000,-5.309,-5.967,7.987,0.000,0.000,0.000,0.836
16:10:11.461,2.670,-6.278,-6.163,True,0.000,0.000,-6.278,-6.163,8.798,0.000,0.000,0.000,0.575
16:10:11.482,2.691,-6.923,-7.148,True,0.000,0.000,-6.923,-7.148,9.951,0.000,0.000,0.000,0.904
16:10:11.503,2.712,-7.306,-7.827,True,0.000,0.000,-7.306,-7.827,10.707,0.000,0.000,0.000,0.547
16:10:11.523,2.732,-5.211,-4.737,True,0.000,0.000,-5.211,-4.737,7.042,0.000,0.000,0.000,0.641
16:10:11.544,2.753,-3.611,-3.296,True,0.000,0.000,-3.611,-3.296,4.889,0.000,0.000,0.000,0.641
16:10:11.564,2.773,-2.481,-1.448,True,0.000,0.000,-2.481,-1.448,2.873,0.000,0.000,0.000,0.852
16:10:11.585,2.794,-2.516,-0.225,True,0.000,0.000,-2.516,-0.225,2.526,0.000,0.000,0.000,0.995
16:10:11.605,2.814,-1.894,0.497,True,0.000,0.000,-1.894,0.497,1.958,0.000,0.000,0.000,0.559
16:10:11.625,2.835,-3.809,-2.667,True,0.000,0.000,-3.809,-2.667,4.650,0.000,0.000,0.000,0.608
16:10:11.646,2.855,-4.524,-5.996,True,0.000,0.000,-4.524,-5.996,7.511,0.000,0.000,0.000,0.966
16:10:11.667,2.876,-5.783,-7.509,True,0.000,0.000,-5.783,-7.509,9.478,0.000,0.000,0.000,1.103
16:10:11.687,2.896,-6.651,-8.446,True,0.000,0.000,-6.651,-8.446,10.751,0.000,0.000,0.000,0.675
16:10:11.707,2.917,-7.194,-8.066,True,0.000,0.000,-7.194,-8.066,10.808,0.000,0.000,0.000,1.134
16:10:11.728,2.937,-8.249,-6.739,True,0.000,0.000,-8.249,-6.739,10.652,0.000,0.000,0.000,0.830
16:10:11.749,2.958,-5.872,-3.032,True,0.000,0.000,-5.872,-3.032,6.609,0.000,0.000,0.000,0.925
16:10:11.769,2.978,-5.556,-4.716,True,0.000,0.000,-5.556,-4.716,7.287,0.000,0.000,0.000,1.263
16:10:11.789,2.998,-6.106,-6.082,True,0.000,0.000,-6.106,-6.082,8.618,0.000,0.000,0.000,1.052
16:10:11.810,3.019,-4.249,-3.589,True,0.000,0.000,-4.249,-3.589,5.562,0.000,0.000,0.000,0.952
16:10:11.830,3.039,-2.898,-1.745,True,0.000,0.000,-2.898,-1.745,3.383,0.000,0.000,0.000,1.004
16:10:11.851,3.060,-2.757,-4.005,True,0.000,0.000,-2.757,-4.005,4.862,0.000,0.000,0.000,1.063
16:10:11.871,3.080,-2.007,-2.267,True,0.000,0.000,-2.007,-2.267,3.027,0.000,0.000,0.000,0.843
16:10:11.891,3.100,-3.074,-4.525,True,0.000,0.000,-3.074,-4.525,5.470,0.000,0.000,0.000,0.576
16:10:11.911,3.120,-2.422,-1.846,True,0.000,0.000,-2.422,-1.846,3.045,0.000,0.000,0.000,0.586
16:10:11.932,3.141,-5.019,-2.497,True,0.000,0.000,-5.019,-2.497,5.606,0.000,0.000,0.000,1.065
16:10:11.953,3.162,-3.903,-1.298,True,0.000,0.000,-3.903,-1.298,4.113,0.000,0.000,0.000,1.198
16:10:11.973,3.182,-5.299,-3.977,True,0.000,0.000,-5.299,-3.977,6.625,0.000,0.000,0.000,0.611
16:10:11.994,3.203,-4.018,-5.996,True,0.000,0.000,-4.018,-5.996,7.218,0.000,0.000,0.000,1.332
16:10:12.013,3.223,-3.022,-3.886,True,0.000,0.000,-3.022,-3.886,4.922,0.000,0.000,0.000,0.532
16:10:12.033,3.243,-4.591,-5.739,True,0.000,0.000,-4.591,-5.739,7.349,0.000,0.000,0.000,0.528
16:10:12.054,3.263,-6.537,-5.323,True,0.000,0.000,-6.537,-5.323,8.430,0.000,0.000,0.000,0.896
16:10:12.074,3.283,-4.872,-4.059,True,0.000,0.000,-4.872,-4.059,6.341,0.000,0.000,0.000,0.586
16:10:12.095,3.304,-3.555,-2.222,True,0.000,0.000,-3.555,-2.222,4.192,0.000,0.000,0.000,0.863
16:10:12.116,3.325,-2.594,-1.792,True,0.000,0.000,-2.594,-1.792,3.153,0.000,0.000,0.000,1.084
16:10:12.136,3.345,-2.711,-4.213,True,0.000,0.000,-2.711,-4.213,5.010,0.000,0.000,0.000,1.108
16:10:12.157,3.366,-2.113,-2.542,True,0.000,0.000,-2.113,-2.542,3.306,0.000,0.000,0.000,1.054
16:10:12.177,3.386,-4.016,-4.806,True,0.000,0.000,-4.016,-4.806,6.263,0.000,0.000,0.000,1.070
16:10:12.198,3.407,-5.460,-6.491,True,0.000,0.000,-5.460,-6.491,8.482,0.000,0.000,0.000,1.312
16:10:12.218,3.427,-4.187,-5.010,True,0.000,0.000,-4.187,-5.010,6.529,0.000,0.000,0.000,0.926
16:10:12.238,3.447,-3.176,-2.936,True,0.000,0.000,-3.176,-2.936,4.325,0.000,0.000,0.000,0.702
