-2.625854736461662924e+02,-1.967052081604608986e+02,4.341013730371469137e+02
-2.207464716840685810e+02,-1.486548292576831045e+02,2.436690132413762626e+02
-1.732104437531400549e+02,-7.034261675392755819e+01,2.446577948059517666e+02
-1.983751903719527832e+02,-1.217263405847739790e+02,2.037401067854724488e+02
1.519332402780393636e+02,1.647921076632811150e+02,2.481669276256242256e+02
-2.164448182544944927e+02,-1.712793080091101388e+02,4.192052692917383183e+02
-2.119648814118807252e+02,-2.302580297780416743e+02,6.316176595327524410e+02
-3.056344803895256632e+02,-2.240713685891782916e+02,6.426059817693845844e+02
-2.259826328495677217e+02,-1.301050995522876121e+02,4.278882660388908334e+02
-1.985701100690074554e+02,-1.343971454977375402e+02,3.094353190885462368e+02
-1.894596942839266944e+02,-1.429914802821366493e+02,2.599668408964663513e+02
-1.549899235011239682e+02,-9.085459252465200564e+01,4.749762588461150017e+02
-1.545226125128226329e+02,-3.711976760006112386e+02,6.170757182623364088e+02
-1.692904588232174774e+02,-2.609518947151559587e+02,6.674795136824907331e+02
-3.727571208717608329e+02,-2.613122992904989417e+01,4.798082508791608802e+02
-5.837544373345902216e+01,-2.086888450209083601e+02,4.643815010494820967e+02
-2.219225770414216186e+02,-2.053895379097365890e+02,4.680032668131264586e+02
-2.498152682472059496e+02,-1.662422765000019353e+02,3.243781068448341216e+02
-3.618858524969195400e+02,-1.563325393034711794e+02,3.367628434813922240e+02
3.587675839627322034e+02,1.535645643435001659e+02,3.191212975409594605e+02
