-1.717644071895242999e-02,-3.359801885460285131e-01,-1.844400092385769727e-02
1.504055078961657327e-02,-2.701970844291663038e-02,3.745360944689742760e-02
6.724908153671705913e-01,-6.580856604790899511e-02,-1.164499670325526252e-03
6.715485987571288007e-01,-3.905873901315345259e-02,2.570991815948017734e-02
1.202332980717571331e+00,1.026190273607212461e-01,2.882823727787380719e+00
-6.554173102041084276e-01,3.635511144563566971e-02,4.375405675285408934e-03
-1.732146563966712599e-02,-3.236686910266995953e-01,-2.261759218914308200e-02
1.025119280869158343e-03,-5.967148367916615959e-01,6.007395406235551717e-03
-4.502898914301754763e-02,-2.351898989234051107e-01,3.161239868433784669e-03
2.183691759606631519e-02,-1.351444236511132602e-01,-2.175683568603345094e-02
1.845147653667033455e-02,-1.170279566353443212e-01,-2.678809643620860825e-02
5.976889450889841804e-01,-5.563261320207224525e-01,-5.146923713269764729e-03
6.300087492251435495e-02,-5.832023618800067366e-01,9.318094299517903911e-02
-8.488966034406428274e-02,-5.270583751898821889e-01,1.059638507793495520e-02
4.011241031971384680e-02,-4.590272824468413226e-01,-6.788125758042291569e-01
1.506574925764115891e-01,3.716386381961465923e-02,4.482284881468396875e-01
-6.157843551708964691e-01,2.253019532186716911e-01,1.254789181066666703e-01
-1.227671891708548430e-01,-5.580238736616040945e-02,4.212968834754532432e-02
-1.406216226116875079e-01,-3.615386360690578949e-01,-2.334804068916257122e-02
6.491734978603898032e-01,-3.026566756658673474e-01,3.018526332189281014e+00
