-2.441825632337073557e+02,-1.698889983092134912e+02,5.575559484191893489e+02
-2.536897827532070266e+02,-1.560767622165730870e+02,5.544552230705992315e+02
-1.840283585677636893e+02,-1.586653465136194257e+02,2.814100882332855917e+02
-1.672087071173661172e+02,-1.502021803178433572e+02,2.622395388279300619e+02
6.637548237643844118e+01,1.651860478688633975e+02,2.461697638696553270e+02
-1.466173167659184742e+02,-1.691709416456773170e+02,6.426091187118091739e+02
-1.778975387205857146e+02,-2.323666917023099359e+02,7.540946491772169793e+02
-1.203725401072522416e+01,-2.212034513951411725e+02,7.764657166262099963e+02
4.505853510168098097e+01,1.926808603646007896e+02,7.804782058356404377e+02
-2.849029072347379952e+02,-1.391008972540588218e+02,4.602676921555183753e+02
-2.851762537268277242e+02,-1.410456283618002828e+02,4.595547986093281452e+02
-7.963683323289257032e+01,-1.650865528183399249e+02,4.529251669046339543e+02
-4.184967626719873124e+01,-8.475057582116593835e+01,4.144825753006768991e+02
-2.793466329385813651e+02,-1.401453969960645907e+02,2.363836901861260174e+02
-1.586119869279079353e+02,-1.389287923962016578e+02,2.780172222390012848e+02
-1.108937347406225911e+02,-1.310892962314442798e+02,5.399869614287360946e+02
-1.733975124253386184e+02,-1.345104251709623497e+02,3.416279996248882753e+02
-1.812008229095962690e+02,-2.564518478053192325e+02,5.891111439192088710e+02
-2.038644956424777206e+02,-1.486188707031063814e+02,4.213961149362455672e+02
-2.013781837293049932e+02,-1.401607879805152947e+02,4.250421854552740797e+02
